Fly,Axe
Button,Seaman
FlyButton,AxeSeaman
Cash,Fare
Value,Query
CashValue,FareQuery
Via,One
_Via1,_One1
_Via2,_One2
cash,Lash
Num,Get
cashNum,LashGet
_cashNum,_LashGet
Need,Busy
Delete,Record
NeedDelete,BusyRecord
is,It
Test,Cult
isTest,ItCult
Keys,Star
CHANNEL,CHANNEL
ID,ID
CHANNEL_ID,CHANNEL_ID
url,Cat
Scheme,Tariff
urlScheme,CatTariff
show,Dull
Score,Route
showScore,DullRoute
enable,Emerge
Continuous,Percentage
Match,Elite
enableContinuousMatch,EmergePercentageElite
skip,Bard
Animation,Certainty
skipAnimation,BardCertainty
speed,Dough
ease,Wick
ease_0,Wick_0
ease_1,Wick_1
collect,Stylish
Sound,Media
collectSound,StylishMedia
Grid,Soda
Container,Grievance
GridContainer,SodaGrievance
back,Wash
Ground,Absorb
backGround,WashAbsorb
Constructor,Unreachable
gConstructor,gUnreachable
score,Biome
Controller,Moderately
scoreController,BiomeModerately
no,An
Matches,Dialect
Prefab,Dismal
noMatchesPrefab,AnDialectDismal
collectPrefab,StylishDismal
Flyer,Argon
scoreFlyerPrefab,BiomeArgonDismal
Mode,Spur
GMode,GSpur
Win,Fan
Action,Endear
WinAction,FanEndear
No,Dy
NoMatchesAction,DyDialectEndear
Change,Halite
Possible,Diffuses
ChangePossibleMatchesAction,HaliteDiffusesDialectEndear
Before,Plaint
Collect,Mislead
BeforeCollectAction,PlaintMisleadEndear
CollectAction,MisleadEndear
End,Van
Animatio,Restrain
EndCollectAnimatioAction,VanMisleadRestrainEndear
Failed,Insist
FailedMatchAction,InsistEliteEndear
Shuffle,Seminar
ShuffleGridEndAction,SeminarSodaVanEndear
Begin,Rough
ShuffleGridBeginAction,SeminarSodaRoughEndear
Undo,Lash
UndoEndAction,UndoVanEndear
Loading,Clarify
Finish,Unfold
LoadingFinish,ClarifyUnfold
Free,Bold
Higlight,Milkweed
ChangeFreeHiglightModeAction,HaliteBoldMilkweedSpurEndear
grid,Mote
sprite,Attain
Assignments,Unfavorably
spriteAssignments,AttainUnfavorably
level,Score
Complete,Gasoline
isComplete,ItGasoline
preloaded,Conductor
Data,Soul
preloadedData,ConductorSoul
restart,Bizarre
restartData,BizarreSoul
has,Fin
Clicked,Finnish
Mahjong,Angular
hasClickedMahjong,FinFinnishAngular
preload,America
preloadContainer,AmericaGrievance
Invoked,Dubious
hasWinActionInvoked,FinFanEndearDubious
pop,Sky
Gold,Hall
popGold,SkyHall
possible,Needless
possibleMatches,NeedlessDialect
pair,Corn
Number,Gallop
pairNumber,CornGallop
parent,Golden
Canvas,Sphere
parentCanvas,GoldenSphere
match,Flank
Queue,Roman
matchQueue,FlankRoman
Processing,Sturdiness
isProcessingMatch,ItSturdinessElite
processing,Chondritic
Tiles,Cramp
processingTiles,ChondriticCramp
Triggered,Americana
Reward,Greece
In,ID
Auto,Loft
hasTriggeredGoldRewardInAutoCollect,FinAmericanaHallGreeceInLoftMislead
hint,Avid
Pair,Taut
hintPair,AvidTaut
isInAutoCollect,ItIDLoftMislead
Collecting,Illustrate
isAutoCollecting,ItLoftIllustrate
hasTriggeredAutoCollect,FinAmericanaLoftMislead
gold,Limy
Combo,Party
Count,Pulse
goldComboCount,LimyPartyPulse
Progress,Feasible
GoldProgress,HallFeasible
Common,Winter
Event,Anvil
Handlers,Complete
Dict,Barn
CommonEventHandlersDict,WinterAnvilCompleteBarn
cells,Adopt
Length,Baboon
mahjong,Booklet
Tile,Trim
mahjongTile,BookletTrim
mahjongTile_1,BookletTrim_1
mahjongTile_2,BookletTrim_2
sprite_1,Attain_1
sprite_2,Attain_2
Pairs,Annex
matchPairs,FlankAnnex
base,Pike
baseMatchScore,PikeEliteRoute
increase,Complain
increaseComboScore,ComplainPartyRoute
max,Lip
maxMatchScore,LipEliteRoute
combo,Occur
ChangeCountEvent,HalitePulseAnvil
Reached,Refiner
ReachedEvent,RefinerAnvil
Transform,Refurbish
spriteTransform,AttainRefurbish
spritetransform,Competitiveness
Position,Synapsis
spritetransformPosition,CompetitivenessSynapsis
May,Fur
Be,Or
Deselect,Pastoral
MayBeDeselect,FurOrPastoral
was,Set
Dragged,Abreast
wasDragged,SetAbreast
Tutorial,Separate
Guide,Price
enableTutorialGuide,EmergeSeparatePrice
tutorial,Figurine
tutorialPairs,FigurineAnnex
current,Produce
Index,Moody
currentPairIndex,ProduceTautMoody
Active,Injure
isTutorialActive,ItSeparateInjure
first,Trade
firstClickedTile,TradeFinnishTrim
second,Height
secondClickedTile,HeightFinnishTrim
Mask,Fend
Step,Here
currentStep,ProduceHere
Level,Delta
currentStepLevel,ProduceHereDelta
currentStepLevel2,ProduceHereDelta2
isTutorialLevel,ItSeparateDelta
isTutorialLevel2Active,ItSeparateDelta2Injure
level2Pairs,Score2Annex
currentLevel,ProduceDelta
PairIndex,TautMoody
currentLevel2PairIndex,ProduceDelta2TautMoody
First,After
FirstClickedTile,AfterFinnishTrim
level2FirstClickedTile,Score2AfterFinnishTrim
Second,Vacant
SecondClickedTile,VacantFinnishTrim
level2SecondClickedTile,Score2VacantFinnishTrim
undo,Fate
Group,Sharp
undoGroup,FateSharp
Counter,Decease
Text,Pity
undoCounterText,FateDeceasePity
maxCount,LipPulse
checked,Drastic
Cells,Acorn
checkedCells,DrasticAcorn
matchGrid,FlankSoda
States,Crunch
undoStates,FateCrunch
Cell,Lime
gridCell,MoteLime
Item,High
FlyItem,AxeHigh
Open,York
isOpenFly,ItYorkAxe
left,Gush
Or,It
Right,Bloom
leftOrRight,GushOrBloom
start,Infer
Time,Slit
startOpenTime,InferYorkSlit
_startOpenTime,_InferYorkSlit
fly,Dot
Add,Bat
flyAddTime,DotBatSlit
_flyAddTime,_DotBatSlit
ready,Plate
Game,Lull
View,Meet
GameView,LullMeet
Id,No
Interval,Treasury
On,Or
Tick,Foil
OnTick,OnFoil
Is,ID
Repeating,Uncrumple
IsRepeating,IsUncrumple
Paused,Meadow
IsPaused,IDMeadow
Remaining,Underfoot
RemainingTime,UnderfootSlit
Coroutine,Introduce
timers,Pearly
_timers,_Pearly
next,Pear
Timer,Rainy
nextTimerId,PearRainyNo
_nextTimerId,_PearRainyNo
m,m
Skeleton,Salinity
Graphic,Tourist
SkeletonGraphic,SalinityTourist
m_SkeletonGraphic,m_SalinityTourist
texts,Repay
Obj,Sad
textsObj,RepaySad
number,Answer
numberText,AnswerPity
original,Fidelity
Scale,Blade
originalScale,FidelityBlade
Tween,Weigh
currentTween,ProduceWeigh
overshoot,Overcrowd
overshootScale,OvercrowdBlade
duration,Reaction
easeIn,WickID
Out,Its
easeOut,WickIts
game,Grit
Board,Syrup
gameBoard,GritSyrup
Down,Must
TimeDown,SlitMust
timedown,Starfish
Commbo,Seabed
isCommbo,ItSeabed
m_isCommbo,m_ItSeabed
ComboCount,PartyPulse
m_ComboCount,m_PartyPulse
event,Loess
System,Define
eventSystem,LoessDefine
reward,Upland
rewardText,UplandPity
ADButton,ADSeaman
Next,Rage
NextLevelButton,RageDeltaSeaman
ADText,ADPity
Slot,Pray
SlotBG,PrayBG
Image,Ready
RewardCashImage,GreeceFareReady
RewardGoldImage,GreeceHallReady
RewardText,GreecePity
rewardValue,UplandQuery
Ad,So
Btn,Sty
hasClickedAdBtn,FinFinnishSoSty
grt,Cue
More,Rock
Rect,Tear
grtMoreRect,CueRockTear
Dstate,Runway
ADstate,ARunway
tween,Calve
slider,London
sliderImage,LondonReady
progress,Consumer
progressText,ConsumerPity
AD,AD
AD_Button,AD_Seaman
Restart,Sleeper
Restart_Button,Sleeper_Seaman
Use,Fee
Use_Button,Fee_Seaman
countdown,Realistic
Sprites,Broadly
countdownSprites,RealisticBroadly
countdownInterval,RealisticTreasury
countdownCoroutine,RealisticIntroduce
Apple,Fluke
AppleAD,FlukeAD
AppleAD_Button,FlukeAD_Seaman
Coin,Airy
AppleCoin,FlukeAiry
AppleCoin_Button,FlukeAiry_Seaman
Stars,Heave
star,Deny
Sprite,Corpse
star1Sprite,Deny1Corpse
star2Sprite,Deny2Corpse
Lose,Bent
CLoseBtn,CBentSty
target,Maraca
targetObj,MaracaSad
padding,Replant
shrink,Lastly
shrinkTime,LastlySlit
Offset,Sierra
targetOffsetX,MaracaSierraX
targetOffsetY,MaracaSierraY
material,Commerce
targetRect,MaracaTear
targetCanvas,MaracaSphere
mask,Dose
maskRect,DoseTear
currentOffsetX,ProduceSierraX
currentOffsetY,ProduceSierraY
Pos,Pot
targetPosX,MaracaPotX
targetPosY,MaracaPotY
Velocity,Threaten
shrinkVelocityX,LastlyThreatenX
shrinkVelocityY,LastlyThreatenY
Penetrate,Defensive
eventPenetrate,LoessDefensive
use,Arm
Target,Mildly
useTargetObj,ArmMildlySad
Trans,Refer
rewardTrans,UplandRefer
par,And
parObj,AndSad
adobj,Alive
adrettrfansform,Unsophisticated
State,Vogue
AdState,SoVogue
Vector,Anyway
pos,Our
Vector3pos,Anyway3Our
Sound_Button,Media_Seaman
Music,Stark
Music_Button,Stark_Seaman
Icon,Once
SoundIcon,MediaOnce
MusicIcon,StarkOnce
Continue,Workable
Continue_Button,Workable_Seaman
CLose,CBent
CLose_Button,CBent_Seaman
Close,Dodge
MusicCloseSprite,StarkDodgeCorpse
MusicOpenSprite,StarkYorkCorpse
SoundCloseSprite,MediaDodgeCorpse
SoundOpenSprite,MediaYorkCorpse
Init,Wine
InitGroup,WineSharp
template,Scavenge
Multi,Pitch
Object,Screen
templateMultiObject,ScavengePitchScreen
item,Seep
Width,Media
itemWidth,SeepWidth
CloseButton,DodgeSeaman
time,Fall
Items,Topic
timeRewardItems,FallGreeceTopic
day,Gem
Datas,Flask
dayRewardDatas,GemGreeceFlask
ItemIndex,HighMoody
m_ItemIndex,m_HighMoody
m_RewardText,m_GreecePity
AdCountText,SoPulsePity
m_AdCountText,m_SoPulsePity
Watch,Scent
AdWatchBtn,SoScentSty
m_AdWatchBtn,m_SoScentSty
Rewareded,Guncotton
RewarededBtn,GuncottonSty
m_RewarededBtn,m_GuncottonSty
TimeBtn,SlitSty
m_TimeBtn,m_SlitSty
Get,How
GetBtn,HowSty
m_GetBtn,m_HowSty
OnAdFinish,OrSoUnfold
OnGetFinish,OrHowUnfold
Day,Eye
DayRewardData,EyeGreeceSoul
m_DayRewardData,m_EyeGreeceSoul
Audio,Chafe
Mgr,Peg
AudioMgr,ChafePeg
Component,Brusquely
AudioComponentQueue,ChafeBrusquelyRoman
Max,Sty
MaxCount,MaxPulse
AudioQueue,ChafeRoman
bg,At
bgMusic,AtStark
m_bgMusic,m_AtStark
Play,Dead
Source,Family
List,Peak
PlayAudioSourceList,DeadChafeFamilyPeak
Check,Brand
CheckInterval,BrandTreasury
Bg,Up
Switch,Elicit
BgMusicSwitch,UpStarkElicit
_BgMusicSwitch,_UpStarkElicit
Effect,Encode
EffectMusicSwitch,EncodeStarkElicit
_EffectMusicSwitch,_EncodeStarkElicit
Volume,Meteor
BgVolume,UpMeteor
_BgVolume,_UpMeteor
EffectVolume,EncodeMeteor
_EffectVolume,_EncodeMeteor
BGM,BGM
Name,Over
BGM_Name,BGM_Over
Setting,Adjunct
AudioSettingDict,ChafeAdjunctBarn
Round,Point
Digits,Spring
RoundDigits,PointSpring
frames,Rubble
framerate,Afterlife
ignore,Person
ignoreTimeScale,PersonSlitBlade
loop,Gush
curve,Swamp
image,Issue
Renderer,Westward
spriteRenderer,AttainWestward
Frame,Diver
currentFrameIndex,ProduceDiverMoody
timer,Naive
Framerate,Chemistry
currentFramerate,ProduceChemistry
Type,Lieu
Target_Type,Mildly_Lieu
Layout,Option
